id	lat	lng
341	48.1564814	11.5707922
341	48.1551644	11.5753198
375	48.0470962	11.5080339
375	48.0452851	11.5070361
375	48.0446073	11.5102762
375	48.0466228	11.5114993
375	48.0470962	11.5080339
380	48.1671302	11.5740216
380	48.1625217	11.5746331
380	48.162765	11.5799761
380	48.1617917	11.5861988
380	48.1641819	11.5864778
380	48.1673019	11.5860593
380	48.1670872	11.5812528
380	48.1670944	11.5790856
380	48.1667438	11.5778303
380	48.1670514	11.5756094
380	48.1671302	11.5740216
